bc,sample,Celltype,Phase
435735,AZD,LMPP,S
186155,AZD,LMPP,G2M
347077,G13,LMPP,G2M
433901,AZD,LMPP,S
532462,NTC,LMPP,S
602028,G13,LMPP,S
159206,NTC,LMPP,S
578163,AZD,LMPP,G1
294723,NTC,LMPP,G2M
628553,AZD,LMPP,S
118392,AZD,LMPP,G1
398984,G13,LMPP,G2M
800015,NTC,LMPP,S
807944,G13,LMPP,G1
266175,G13,LMPP,G2M
448420,G13,LMPP,G2M
236443,AZD,MEP1,S
795224,NTC,LMPP,S
469552,NTC,LMPP,G2M
692139,AZD,LMPP,S
408433,AZD,LMPP,S
615758,G13,LMPP,S
318348,NTC,LMPP,G2M
386225,G13,LMPP,G2M
154051,NTC,LMPP,S
533166,G13,MEP1,S
514915,NTC,LMPP,S
105315,NTC,LMPP,S
378683,G13,LMPP,S
76747,AZD,LMPP,G2M
269487,AZD,LMPP,S
92839,G13,LMPP,G1
233923,G13,LMPP,S
674055,G13,LMPP,G2M
324684,G13,MEP1,G2M
610708,NTC,LMPP,G1
541195,NTC,LMPP,G1
167307,NTC,LMPP,S
523899,NTC,LMPP,S
392118,AZD,LMPP,G2M
422209,AZD,MEP1,G2M
141048,NTC,LMPP,G2M
776804,AZD,LMPP,G1
103160,G13,LMPP,S
124362,NTC,LMPP,S
447614,G13,LMPP,G2M
57519,G13,LMPP,G2M
673049,AZD,LMPP,G2M
360518,AZD,LMPP,S
783167,NTC,MEP1,S
283942,NTC,LMPP,S
748779,NTC,LMPP,S
353743,NTC,LMPP,S
161566,NTC,LMPP,S
113950,G13,LMPP,S
398975,NTC,LMPP,S
47702,NTC,LMPP,G2M
149891,AZD,LMPP,G2M
351655,NTC,LMPP,G1
846063,NTC,LMPP,S
153290,NTC,LMPP,S
203344,AZD,LMPP,G2M
663530,NTC,LMPP,G2M
700817,NTC,LMPP,S
168089,G13,LMPP,G1
581817,AZD,LMPP,G1
100242,AZD,LMPP,S
608824,AZD,MEP1,G2M
249600,NTC,LMPP,S
512006,NTC,LMPP,S
510915,AZD,LMPP,S
701962,NTC,LMPP,S
519184,NTC,LMPP,S
346051,NTC,LMPP,S
648852,NTC,LMPP,S
357233,NTC,LMPP,G1
382143,AZD,LMPP,G2M
43787,AZD,LMPP,S
453418,G13,HSC/MPP,G1
219709,AZD,LMPP,G2M
407870,NTC,LMPP,S
557351,G13,LMPP,S
695532,AZD,LMPP,S
211851,AZD,LMPP,S
159421,NTC,LMPP,S
101541,NTC,LMPP,G2M
954,G13,LMPP,S
203740,AZD,CMP,G1
550883,G13,LMPP,G2M
839877,G13,LMPP,G1
132050,G13,LMPP,G2M
632912,G13,LMPP,G2M
653426,NTC,LMPP,S
792323,NTC,LMPP,S
260347,NTC,LMPP,G1
353444,NTC,LMPP,G2M
478767,AZD,LMPP,S
8796,NTC,LMPP,S
351304,G13,LMPP,S
479568,NTC,LMPP,G2M
519395,G13,LMPP,G2M
74344,NTC,LMPP,S
876935,G13,LMPP,G2M
13136,G13,LMPP,S
451347,NTC,LMPP,S
602661,G13,MEP1,S
68535,G13,LMPP,G1
204186,NTC,LMPP,S
151564,AZD,LMPP,G2M
202858,NTC,LMPP,G2M
518917,G13,LMPP,S
54534,G13,LMPP,S
394929,G13,LMPP,G2M
460214,NTC,LMPP,G1
658459,G13,LMPP,G1
71816,G13,LMPP,G2M
510479,NTC,LMPP,S
104566,NTC,LMPP,S
83208,AZD,HSC/MPP,G1
531221,G13,LMPP,G2M
456616,G13,LMPP,G1
579252,NTC,LMPP,G2M
432796,NTC,LMPP,S
266486,NTC,LMPP,G2M
711568,AZD,LMPP,G2M
252722,NTC,LMPP,G2M
744603,AZD,LMPP,G2M
839207,G13,LMPP,S
74358,G13,LMPP,G1
239404,NTC,MEP1,G2M
376173,AZD,MEP1,G2M
221144,G13,LMPP,S
391512,G13,LMPP,G2M
211889,AZD,LMPP,G2M
430573,G13,LMPP,S
442068,G13,LMPP,S
466508,AZD,LMPP,S
230143,NTC,MEP1,G2M
480572,AZD,LMPP,S
404018,G13,MEP1,S
632020,NTC,LMPP,G2M
474045,NTC,LMPP,G2M
828639,NTC,LMPP,S
30887,AZD,MEP1,S
495978,AZD,LMPP,G2M
454450,NTC,CMP,S
617723,G13,LMPP,G1
20724,AZD,LMPP,S
452526,AZD,LMPP,S
56556,AZD,LMPP,S
80867,NTC,LMPP,S
14409,AZD,LMPP,S
398247,AZD,LMPP,S
140930,NTC,LMPP,G1
193442,NTC,LMPP,G2M
209570,AZD,MEP1,S
740498,AZD,LMPP,S
76695,NTC,LMPP,S
188181,NTC,LMPP,S
269261,NTC,LMPP,S
438309,G13,LMPP,G1
735618,AZD,LMPP,S
224592,NTC,HSC/MPP,G1
434455,G13,LMPP,S
801849,NTC,LMPP,S
235693,NTC,LMPP,G2M
626283,NTC,LMPP,S
775928,G13,LMPP,S
85430,NTC,LMPP,G1
198892,NTC,LMPP,S
753736,NTC,LMPP,S
250630,NTC,LMPP,S
483202,NTC,LMPP,S
49517,G13,MEP1,G2M
304631,NTC,LMPP,S
452379,G13,LMPP,G2M
578411,G13,LMPP,S
99748,AZD,LMPP,S
475779,G13,LMPP,G1
550440,G13,LMPP,S
400016,NTC,LMPP,S
854712,AZD,LMPP,G2M
150892,G13,LMPP,G1
498778,AZD,LMPP,G1
563054,AZD,LMPP,S
75624,NTC,LMPP,G2M
539327,NTC,LMPP,G1
586213,G13,LMPP,G1
488643,G13,LMPP,S
762982,AZD,LMPP,G2M
99061,NTC,LMPP,S
272544,G13,LMPP,G2M
753170,G13,LMPP,G2M
613370,G13,LMPP,S
703725,AZD,LMPP,G2M
374907,AZD,LMPP,G2M
81895,NTC,LMPP,S
597693,G13,LMPP,G2M
238454,G13,LMPP,S
361533,NTC,LMPP,S
516397,AZD,LMPP,S
524916,AZD,LMPP,S
10189,G13,LMPP,G2M
441371,AZD,LMPP,S
56104,NTC,MEP1,S
303834,NTC,MEP1,G2M
98105,G13,LMPP,S
658660,NTC,LMPP,S
12832,NTC,MEP1,S
259236,NTC,LMPP,S
199244,AZD,LMPP,S
830672,G13,LMPP,S
317508,G13,LMPP,G2M
452443,NTC,LMPP,S
508246,AZD,LMPP,S
355729,AZD,CMP,G1
647721,NTC,LMPP,S
628168,NTC,LMPP,G2M
835049,G13,LMPP,G2M
809956,G13,LMPP,S
126013,G13,LMPP,S
296363,AZD,LMPP,G2M
14987,NTC,LMPP,G2M
143664,AZD,MEP1,S
794047,AZD,LMPP,S
523973,NTC,LMPP,G2M
516486,G13,LMPP,S
91083,NTC,LMPP,G2M
231231,NTC,LMPP,S
654476,G13,LMPP,G2M
221412,NTC,LMPP,S
452119,AZD,MEP1,S
508979,NTC,LMPP,G2M
826690,AZD,LMPP,S
606750,AZD,LMPP,S
584125,G13,LMPP,G1
440698,G13,LMPP,S
147050,AZD,LMPP,S
72327,AZD,MEP1,S
527413,AZD,LMPP,S
539569,G13,LMPP,S
185966,NTC,LMPP,G2M
414978,NTC,LMPP,G2M
521510,NTC,LMPP,S
505633,G13,LMPP,S
776445,NTC,LMPP,S
818632,AZD,MEP1,S
41011,G13,LMPP,S
758294,NTC,LMPP,G2M
817762,NTC,LMPP,G2M
434815,NTC,LMPP,S
363932,AZD,LMPP,S
728496,AZD,LMPP,S
107749,AZD,CMP,G1
34399,G13,LMPP,S
62419,NTC,MEP1,S
756812,AZD,LMPP,G2M
742212,NTC,LMPP,S
450298,G13,LMPP,G2M
605204,G13,LMPP,S
13509,AZD,LMPP,S
355368,G13,LMPP,G2M
428995,NTC,LMPP,G1
701784,AZD,LMPP,G2M
537928,AZD,LMPP,S
792751,AZD,LMPP,G2M
618004,G13,LMPP,S
850660,G13,LMPP,S
61690,NTC,LMPP,S
306619,G13,LMPP,G1
877663,G13,LMPP,S
568447,G13,LMPP,G2M
14669,G13,LMPP,G2M
81248,G13,LMPP,S
715107,G13,LMPP,S
34814,G13,LMPP,S
467912,G13,LMPP,G1
61242,G13,LMPP,G2M
737748,AZD,LMPP,S
221424,NTC,LMPP,S
214948,NTC,LMPP,G2M
781429,AZD,MEP1,S
873921,G13,LMPP,G2M
748430,NTC,MEP1,G2M
796627,NTC,LMPP,G2M
275,NTC,MEP1,S
719149,NTC,LMPP,S
86454,AZD,LMPP,S
467339,NTC,MEP1,S
654936,NTC,LMPP,G2M
61791,NTC,MEP1,S
350057,AZD,LMPP,G2M
842347,AZD,LMPP,G2M
367752,NTC,LMPP,G2M
449265,G13,LMPP,S
252813,G13,LMPP,S
419359,NTC,MEP1,G2M
529548,AZD,LMPP,S
79497,G13,LMPP,S
679520,AZD,CMP,S
447424,AZD,LMPP,S
312254,AZD,LMPP,G2M
544304,G13,LMPP,S
581818,NTC,LMPP,S
462364,G13,LMPP,S
167451,NTC,LMPP,S
663441,G13,LMPP,G1
167279,NTC,LMPP,S
278156,G13,LMPP,S
207760,G13,LMPP,G2M
576840,AZD,LMPP,S
445110,G13,MEP1,S
579406,G13,LMPP,S
353673,NTC,LMPP,S
500290,NTC,LMPP,G2M
401643,G13,LMPP,S
410100,G13,LMPP,S
799078,AZD,LMPP,S
108020,NTC,LMPP,S
22794,G13,LMPP,S
99523,NTC,LMPP,S
352342,AZD,LMPP,G1
413495,AZD,LMPP,G2M
408688,NTC,LMPP,S
657026,AZD,LMPP,S
196268,AZD,LMPP,S
347561,G13,LMPP,G1
575051,AZD,LMPP,G2M
236199,AZD,LMPP,G2M
461253,NTC,LMPP,G2M
429555,AZD,LMPP,S
808031,AZD,LMPP,S
626197,NTC,LMPP,G2M
401747,G13,LMPP,G2M
118840,AZD,LMPP,S
205053,G13,LMPP,G1
451379,G13,LMPP,G2M
817739,G13,LMPP,G2M
105063,NTC,LMPP,S
771127,AZD,LMPP,G2M
864377,AZD,LMPP,S
671460,NTC,LMPP,G2M
609044,G13,LMPP,S
408673,AZD,LMPP,S
622506,NTC,LMPP,S
203541,AZD,LMPP,G1
2067,NTC,LMPP,G1
90134,G13,MEP1,S
767408,G13,LMPP,S
161076,NTC,LMPP,G1
544477,G13,LMPP,S
454552,G13,CMP,G1
251780,G13,LMPP,S
70782,G13,LMPP,S
402399,NTC,LMPP,G2M
769714,NTC,LMPP,G2M
752841,NTC,LMPP,S
799663,NTC,LMPP,S
452212,NTC,LMPP,G1
290346,NTC,LMPP,G2M
403458,AZD,LMPP,G2M
427153,NTC,LMPP,S
543295,G13,LMPP,G1
593926,NTC,LMPP,S
518649,G13,LMPP,G2M
447825,G13,MEP1,S
646134,NTC,LMPP,S
575755,G13,LMPP,S
862351,NTC,LMPP,S
732635,NTC,LMPP,G2M
815485,NTC,LMPP,G1
108,AZD,LMPP,S
34499,G13,LMPP,G1
425177,NTC,LMPP,S
740330,AZD,LMPP,S
451256,AZD,LMPP,S
598930,AZD,CMP,S
29848,G13,LMPP,G2M
102480,G13,LMPP,S
834433,G13,LMPP,S
468646,NTC,LMPP,S
141732,NTC,LMPP,S
366802,G13,MEP1,S
401331,AZD,MEP1,G2M
651273,G13,LMPP,G2M
773141,G13,LMPP,S
747827,G13,LMPP,S
39014,NTC,LMPP,S
550857,NTC,LMPP,S
251854,AZD,LMPP,S
65228,NTC,LMPP,G1
212856,G13,LMPP,G1
645862,NTC,LMPP,S
160757,AZD,LMPP,S
204769,AZD,LMPP,G1
490417,NTC,LMPP,S
353227,G13,LMPP,G1
220606,G13,LMPP,S
11870,NTC,LMPP,G2M
828980,NTC,LMPP,G2M
817562,AZD,CMP,G2M
412608,AZD,LMPP,S
877731,NTC,LMPP,G2M
158057,NTC,MEP1,S
526504,AZD,LMPP,S
233747,AZD,MEP1,S
397797,G13,LMPP,G2M
195042,G13,LMPP,G2M
133388,G13,LMPP,S
229955,G13,LMPP,G1
650848,NTC,LMPP,S
829656,AZD,LMPP,S
296290,G13,MEP1,S
19580,G13,LMPP,S
237570,G13,LMPP,S
114901,G13,LMPP,S
464954,NTC,CMP,G2M
121978,NTC,LMPP,S
523886,G13,LMPP,G2M
39470,G13,LMPP,S
257351,AZD,LMPP,S
210318,NTC,LMPP,S
583223,G13,LMPP,G2M
92349,G13,MEP1,S
655902,G13,LMPP,S
458828,AZD,LMPP,S
65687,NTC,LMPP,G1
858223,AZD,LMPP,G1
616647,NTC,LMPP,G2M
37465,AZD,LMPP,G2M
266060,NTC,LMPP,S
708891,NTC,LMPP,G1
746543,AZD,LMPP,S
649253,G13,LMPP,S
759759,G13,LMPP,S
860570,NTC,LMPP,G2M
416979,G13,LMPP,G2M
315015,AZD,LMPP,S
606922,G13,LMPP,G2M
472858,NTC,LMPP,G2M
536456,G13,LMPP,S
357317,G13,LMPP,S
477835,NTC,LMPP,G1
160586,G13,LMPP,G1
386512,G13,LMPP,S
316678,G13,LMPP,S
658795,AZD,LMPP,G1
548773,NTC,LMPP,S
171968,NTC,LMPP,G2M
65235,NTC,LMPP,G2M
565528,NTC,LMPP,S
709302,AZD,LMPP,S
791405,NTC,LMPP,S
750846,AZD,LMPP,G2M
81293,NTC,LMPP,G2M
701410,NTC,MEP1,G2M
89547,G13,LMPP,S
867210,AZD,LMPP,G2M
308873,G13,LMPP,G2M
589258,G13,CMP,G1
310108,G13,LMPP,S
789807,G13,LMPP,G2M
26216,AZD,LMPP,G2M
747641,AZD,LMPP,S
806247,G13,LMPP,S
139606,NTC,LMPP,S
271239,AZD,CMP,G1
386312,NTC,LMPP,G2M
357743,G13,LMPP,S
750283,G13,LMPP,G2M
374700,NTC,LMPP,G2M
459809,G13,LMPP,S
601726,NTC,LMPP,G2M
660991,NTC,MEP1,S
203178,AZD,LMPP,G2M
692002,AZD,LMPP,S
642137,AZD,LMPP,G2M
504795,AZD,LMPP,G1
762178,G13,LMPP,G2M
593550,NTC,LMPP,G2M
260930,G13,LMPP,G2M
739733,G13,LMPP,S
268194,AZD,LMPP,S
714609,NTC,MEP1,S
796375,AZD,LMPP,S
158160,NTC,LMPP,S
265036,NTC,LMPP,G2M
587176,AZD,LMPP,S
703686,AZD,LMPP,G2M
509001,G13,LMPP,S
217600,NTC,LMPP,G2M
402043,NTC,LMPP,G1
449879,NTC,LMPP,G2M
489755,NTC,LMPP,G2M
521565,G13,LMPP,S
53553,AZD,LMPP,G2M
459432,G13,LMPP,S
688936,NTC,LMPP,G2M
650893,G13,LMPP,S
374184,NTC,MEP1,S
304386,AZD,LMPP,S
750591,G13,LMPP,G2M
221021,G13,LMPP,S
477409,AZD,LMPP,S
357807,AZD,LMPP,S
693004,NTC,LMPP,G1
46280,NTC,LMPP,G2M
721902,AZD,LMPP,G2M
762879,G13,LMPP,S
741880,NTC,MEP1,S
210562,G13,LMPP,G2M
354381,G13,LMPP,S
249338,G13,MEP1,S
130732,AZD,LMPP,G2M
517431,G13,MEP1,S
608106,NTC,LMPP,G1
25203,AZD,MEP1,S
150764,G13,LMPP,G2M
865651,G13,MEP1,G2M
546723,AZD,LMPP,S
564337,G13,LMPP,S
25212,NTC,LMPP,G2M
55756,NTC,LMPP,S
464616,G13,LMPP,S
590940,NTC,LMPP,G1
287634,NTC,LMPP,G2M
829990,AZD,LMPP,S
139801,G13,LMPP,S
86299,NTC,LMPP,G2M
312079,G13,LMPP,G2M
84122,NTC,LMPP,S
561498,AZD,LMPP,S
250399,NTC,LMPP,S
2425,AZD,MEP1,S
77590,G13,LMPP,S
308993,G13,LMPP,S
388983,NTC,LMPP,G2M
537655,AZD,LMPP,G1
732014,NTC,LMPP,G1
197634,NTC,LMPP,S
580636,G13,LMPP,S
624146,G13,LMPP,S
251285,AZD,LMPP,S
495247,NTC,LMPP,S
158430,G13,LMPP,S
883710,NTC,LMPP,S
606177,AZD,LMPP,S
481131,NTC,LMPP,S
152664,AZD,LMPP,S
530958,AZD,LMPP,G1
25097,NTC,LMPP,S
407796,AZD,LMPP,S
508345,NTC,LMPP,S
161294,AZD,LMPP,S
161929,AZD,LMPP,S
708082,AZD,HSC/MPP,G1
27400,NTC,LMPP,G2M
467947,NTC,LMPP,S
832505,AZD,LMPP,S
192572,G13,MEP1,S
267695,AZD,LMPP,G1
522560,NTC,LMPP,G2M
812098,NTC,LMPP,S
269953,G13,LMPP,G1
458928,NTC,MEP1,S
603518,G13,LMPP,S
97272,AZD,LMPP,S
207452,G13,LMPP,S
134422,AZD,LMPP,G2M
65003,AZD,LMPP,S
816805,AZD,LMPP,G2M
433063,G13,LMPP,G1
880757,AZD,LMPP,G2M
86739,AZD,LMPP,G1
519789,AZD,LMPP,S
141098,G13,LMPP,S
247799,NTC,LMPP,G2M
825190,NTC,LMPP,G2M
496758,AZD,MEP1,S
513376,AZD,LMPP,S
818448,G13,LMPP,S
74628,AZD,LMPP,S
83650,NTC,LMPP,G2M
678087,AZD,MEP1,S
550986,G13,MEP1,S
158471,NTC,LMPP,S
42698,AZD,LMPP,S
81374,NTC,LMPP,G1
564407,NTC,LMPP,S
53400,NTC,LMPP,S
534909,NTC,LMPP,S
14711,G13,LMPP,G1
140002,NTC,LMPP,S
272533,G13,LMPP,G1
711429,NTC,LMPP,S
541039,G13,LMPP,S
774494,G13,LMPP,G2M
187751,G13,LMPP,G1
202319,AZD,LMPP,G1
815468,G13,LMPP,S
787126,AZD,LMPP,S
624764,NTC,LMPP,S
655135,NTC,LMPP,S
830706,NTC,LMPP,G2M
529737,AZD,LMPP,S
25059,G13,LMPP,S
236176,G13,LMPP,S
80283,NTC,CLP,G1
601032,G13,LMPP,G2M
129910,NTC,LMPP,S
427127,AZD,LMPP,G1
795596,NTC,LMPP,G2M
391570,AZD,MEP1,G2M
1537,NTC,LMPP,S
219624,G13,LMPP,G2M
81885,NTC,LMPP,S
164698,AZD,LMPP,G2M
431580,G13,MEP1,S
77186,AZD,LMPP,S
152090,G13,LMPP,S
829711,NTC,LMPP,S
448636,G13,LMPP,S
453607,AZD,LMPP,G2M
200006,AZD,LMPP,S
94890,NTC,LMPP,G2M
838998,AZD,LMPP,S
122405,G13,LMPP,S
561008,NTC,LMPP,S
9906,AZD,LMPP,G1
502626,G13,LMPP,S
6450,NTC,LMPP,G1
611773,NTC,LMPP,S
540454,NTC,CMP,G1
282971,AZD,LMPP,G2M
513550,G13,MEP1,S
561544,NTC,LMPP,G1
574639,G13,LMPP,S
146715,AZD,LMPP,G1
281633,AZD,LMPP,S
167895,AZD,LMPP,G1
477674,G13,MEP1,S
629541,AZD,LMPP,S
135689,G13,LMPP,S
248771,AZD,LMPP,S
270164,NTC,LMPP,S
533092,G13,LMPP,S
571352,AZD,LMPP,S
102428,AZD,CMP,G1
255663,G13,LMPP,G2M
259770,NTC,LMPP,S
586188,NTC,LMPP,S
423758,NTC,LMPP,G1
450573,AZD,LMPP,G1
294519,NTC,LMPP,G2M
93985,NTC,LMPP,S
372180,NTC,LMPP,S
21021,NTC,LMPP,S
108937,NTC,CMP,G1
467172,AZD,LMPP,S
302948,NTC,LMPP,S
162452,NTC,LMPP,S
422417,G13,LMPP,S
443544,NTC,LMPP,G1
103099,NTC,LMPP,G2M
256965,AZD,HSC/MPP,G1
630746,AZD,LMPP,G2M
169609,NTC,LMPP,S
794986,AZD,CMP,G1
9861,AZD,LMPP,G1
475331,G13,LMPP,G1
590689,NTC,LMPP,S
484568,G13,LMPP,S
277176,NTC,LMPP,S
529407,NTC,LMPP,S
531311,G13,LMPP,G2M
863496,AZD,LMPP,S
696268,NTC,LMPP,G2M
240759,AZD,LMPP,G2M
228522,G13,LMPP,S
720718,NTC,LMPP,S
477038,NTC,LMPP,S
534267,G13,LMPP,S
859921,AZD,LMPP,S
664733,NTC,LMPP,S
729498,NTC,LMPP,S
692025,AZD,LMPP,S
375240,NTC,LMPP,G2M
13753,NTC,LMPP,S
455412,G13,LMPP,G1
583144,NTC,LMPP,G2M
845280,NTC,LMPP,G1
344952,G13,LMPP,G1
626556,G13,LMPP,S
490088,NTC,LMPP,G1
260509,G13,LMPP,G1
781265,NTC,LMPP,S
83532,AZD,LMPP,S
233684,NTC,LMPP,S
364033,G13,LMPP,S
212498,G13,LMPP,G2M
423477,AZD,HSC/MPP,G1
47413,AZD,MEP1,G2M
393471,AZD,LMPP,G1
120309,NTC,LMPP,S
211669,G13,LMPP,S
596322,NTC,LMPP,S
451433,AZD,LMPP,S
306735,AZD,MEP1,S
434295,G13,LMPP,S
112183,NTC,LMPP,G1
516996,AZD,LMPP,S
863671,NTC,MEP1,S
350156,NTC,MEP1,S
619308,NTC,LMPP,S
676280,NTC,LMPP,G2M
882098,G13,LMPP,S
137059,AZD,LMPP,S
825734,NTC,LMPP,G2M
200065,AZD,LMPP,G1
535140,NTC,LMPP,S
430545,NTC,LMPP,S
69230,NTC,LMPP,S
164591,NTC,MEP1,G2M
33275,G13,LMPP,G2M
115436,AZD,LMPP,G2M
224853,AZD,LMPP,G2M
431474,NTC,LMPP,S
821273,AZD,LMPP,S
424549,NTC,LMPP,S
110323,AZD,LMPP,G1
262155,NTC,LMPP,S
228440,AZD,LMPP,G2M
630362,NTC,LMPP,S
741709,NTC,LMPP,G1
282713,NTC,LMPP,S
453772,AZD,MEP1,S
273004,G13,LMPP,S
14159,NTC,MEP1,S
78148,AZD,LMPP,G1
228305,G13,LMPP,G1
326074,G13,LMPP,G2M
277232,G13,LMPP,S
842872,G13,LMPP,G2M
273950,NTC,LMPP,S
271455,G13,LMPP,S
414745,NTC,LMPP,S
24699,G13,LMPP,S
470481,G13,LMPP,G1
694832,NTC,MEP1,G2M
88607,AZD,LMPP,S
651554,NTC,LMPP,G1
366970,AZD,LMPP,G2M
720913,NTC,LMPP,G2M
719919,NTC,LMPP,S
731735,G13,MEP1,G2M
298852,AZD,LMPP,G1
751334,NTC,LMPP,S
696705,NTC,LMPP,S
274483,G13,LMPP,S
591406,NTC,LMPP,G2M
59742,G13,LMPP,S
497568,G13,LMPP,G2M
689149,G13,MEP1,S
799033,NTC,LMPP,G2M
147703,NTC,LMPP,G2M
83614,NTC,MEP1,S
367640,AZD,LMPP,G1
675390,G13,LMPP,G2M
847968,AZD,LMPP,G2M
108928,G13,LMPP,G1
494203,AZD,LMPP,S
742636,G13,LMPP,S
768052,G13,LMPP,S
365792,AZD,LMPP,S
648300,G13,LMPP,S
210629,NTC,LMPP,S
619407,G13,CMP,G1
709486,NTC,LMPP,G2M
595742,NTC,LMPP,G1
304298,AZD,CLP,G1
718875,G13,LMPP,S
563675,NTC,LMPP,G1
147869,AZD,LMPP,S
773963,G13,LMPP,S
810877,G13,LMPP,S
343355,NTC,LMPP,G2M
195340,NTC,LMPP,G2M
674623,NTC,LMPP,G2M
227794,NTC,LMPP,S
518193,NTC,LMPP,S
396638,G13,MEP1,S
485159,G13,LMPP,S
28416,NTC,LMPP,S
813414,AZD,MEP1,S
878186,G13,MEP1,S
88467,NTC,LMPP,S
879264,AZD,LMPP,G2M
798703,AZD,LMPP,S
446933,G13,LMPP,G1
591520,AZD,CMP,G2M
601447,G13,LMPP,G2M
480811,AZD,MEP1,S
544725,NTC,LMPP,S
726668,AZD,MEP1,S
544349,AZD,LMPP,S
67362,AZD,LMPP,S
790224,AZD,LMPP,G2M
96372,NTC,LMPP,S
166771,AZD,LMPP,S
315314,G13,LMPP,G2M
39959,G13,LMPP,S
619156,NTC,LMPP,G2M
460098,NTC,LMPP,G1
657180,AZD,LMPP,S
799205,G13,LMPP,G1
266206,AZD,LMPP,S
860547,NTC,LMPP,G2M
273884,G13,LMPP,S
109429,G13,MEP1,G2M
406345,NTC,LMPP,S
595779,AZD,LMPP,S
430928,AZD,LMPP,S
258227,NTC,MEP1,S
312255,NTC,LMPP,S
389980,AZD,LMPP,G2M
515233,G13,LMPP,S
778087,G13,LMPP,G2M
800442,G13,LMPP,S
161628,NTC,LMPP,S
383422,AZD,LMPP,G2M
676099,AZD,LMPP,S
692159,G13,MEP1,S
603951,NTC,LMPP,S
667365,NTC,LMPP,G1
707602,G13,MEP1,S
357781,NTC,LMPP,G2M
335470,G13,LMPP,S
712215,G13,LMPP,S
840387,NTC,LMPP,S
275494,G13,LMPP,G1
493916,AZD,LMPP,S
501840,G13,CMP,G1
542647,AZD,MEP1,S
721448,NTC,LMPP,G1
503211,NTC,CLP,G1
355043,NTC,LMPP,G1
541434,G13,LMPP,G1
805117,G13,LMPP,G2M
274791,NTC,LMPP,S
214953,G13,LMPP,S
189830,NTC,LMPP,S
304264,AZD,LMPP,G1
768491,G13,LMPP,G2M
434124,G13,MEP1,S
466715,G13,LMPP,G1
514322,G13,LMPP,S
3603,NTC,LMPP,S
204844,G13,CMP,G1
658453,AZD,LMPP,S
7123,AZD,LMPP,S
814573,G13,LMPP,S
84102,G13,LMPP,G1
396229,NTC,LMPP,S
673834,NTC,LMPP,S
358707,G13,LMPP,G2M
709796,NTC,LMPP,S
129535,G13,LMPP,S
21316,G13,LMPP,S
254154,NTC,LMPP,S
168504,NTC,LMPP,S
798481,NTC,LMPP,S
349211,G13,LMPP,S
785204,AZD,LMPP,S
115237,G13,LMPP,G2M
743667,G13,LMPP,G1
209035,G13,LMPP,S
570365,NTC,LMPP,G1
602092,G13,LMPP,S
697155,NTC,MEP1,S
229931,NTC,LMPP,G1
401188,NTC,LMPP,S
20573,NTC,LMPP,G2M
307927,AZD,LMPP,S
575356,NTC,LMPP,G2M
357988,NTC,LMPP,G1
826655,NTC,LMPP,S
189978,NTC,LMPP,G2M
159580,G13,LMPP,S
141335,G13,MEP1,G1
160073,NTC,LMPP,S
826165,NTC,MEP1,S
603400,NTC,LMPP,G1
227935,G13,LMPP,G1
131440,NTC,LMPP,G2M
526879,G13,LMPP,S
564833,G13,LMPP,G2M
42991,G13,LMPP,S
779214,G13,LMPP,S
580172,G13,LMPP,S
156656,G13,LMPP,G2M
398737,NTC,LMPP,S
707078,G13,MEP1,S
659519,AZD,LMPP,S
466791,AZD,LMPP,S
578183,AZD,LMPP,S
528867,G13,LMPP,S
215315,G13,LMPP,G2M
597233,AZD,LMPP,S
497901,G13,LMPP,G2M
362398,G13,LMPP,G2M
477863,AZD,LMPP,S
296263,AZD,LMPP,S
575530,G13,LMPP,S
630235,G13,LMPP,S
742259,NTC,LMPP,G2M
842318,NTC,LMPP,S
161551,G13,LMPP,G2M
357592,NTC,LMPP,G1
40149,NTC,MEP1,S
274502,G13,LMPP,S
884585,G13,LMPP,S
581465,AZD,CMP,S
596441,NTC,LMPP,S
109233,G13,LMPP,S
630683,G13,LMPP,G2M
32433,NTC,LMPP,G1
402961,NTC,LMPP,S
433031,AZD,LMPP,S
771270,NTC,LMPP,G2M
323368,NTC,LMPP,S
698399,G13,LMPP,S
33944,NTC,LMPP,S
216186,NTC,LMPP,G2M
358119,AZD,MEP1,G1
678972,G13,LMPP,S
792988,NTC,LMPP,G2M
539917,G13,LMPP,G1
531877,G13,LMPP,G2M
311827,G13,LMPP,G2M
633305,AZD,LMPP,S
74310,NTC,LMPP,G1
556809,G13,LMPP,S
817612,AZD,LMPP,G2M
865905,G13,LMPP,S
845103,NTC,LMPP,S
20004,AZD,LMPP,S
77119,G13,LMPP,S
391829,NTC,LMPP,G2M
819907,G13,LMPP,G2M
422023,G13,LMPP,S
509800,G13,CMP,G1
154577,NTC,LMPP,S
425419,NTC,MEP1,S
651539,AZD,MEP1,S
222511,G13,LMPP,G1
207029,G13,LMPP,S
782727,NTC,LMPP,G1
799286,G13,MEP1,S
476994,NTC,LMPP,S
789800,G13,LMPP,S
8326,AZD,LMPP,S
555204,G13,MEP1,S
613772,AZD,LMPP,G2M
48684,AZD,LMPP,S
98783,G13,LMPP,S
8232,G13,LMPP,G1
189514,G13,LMPP,G2M
229667,AZD,LMPP,S
81671,NTC,LMPP,S
369782,AZD,LMPP,G2M
144955,NTC,LMPP,G1
840440,NTC,LMPP,S
388747,NTC,LMPP,S
651494,AZD,LMPP,S
864496,G13,LMPP,S
