bc,sample,Celltype,Phase
453329,NTC,LMPP,G2M
397707,G13,LMPP,S
403782,AZD,LMPP,S
77015,G13,MEP1,G2M
445563,G13,LMPP,S
207541,G13,MEP1,S
459203,NTC,LMPP,S
556213,NTC,LMPP,S
583951,AZD,LMPP,S
428572,NTC,MEP1,G2M
157011,G13,LMPP,S
779547,NTC,LMPP,G2M
148688,G13,LMPP,S
432946,AZD,LMPP,G2M
534857,G13,MEP1,S
310959,NTC,LMPP,G2M
589490,AZD,MEP1,G2M
20033,AZD,LMPP,S
461936,NTC,LMPP,G2M
565993,NTC,LMPP,G2M
471147,NTC,LMPP,S
105291,AZD,LMPP,G1
399943,NTC,LMPP,G2M
144552,NTC,LMPP,G1
204881,NTC,LMPP,S
347255,G13,LMPP,G2M
557369,NTC,LMPP,G2M
537789,G13,LMPP,S
516908,AZD,MEP1,S
587637,NTC,LMPP,G2M
230134,G13,LMPP,G2M
798452,NTC,LMPP,S
511658,NTC,LMPP,S
567349,AZD,LMPP,S
11759,G13,LMPP,G1
587085,NTC,LMPP,S
23789,G13,LMPP,S
554596,NTC,LMPP,G2M
655501,NTC,LMPP,G2M
694115,NTC,LMPP,S
588986,G13,LMPP,G2M
581679,NTC,MEP1,S
557835,G13,CMP,G2M
423921,NTC,LMPP,S
563188,AZD,LMPP,G2M
416333,AZD,LMPP,S
351466,NTC,LMPP,S
81555,G13,LMPP,G2M
469657,G13,LMPP,G2M
478771,NTC,LMPP,G2M
174682,NTC,MEP1,G2M
568369,NTC,MEP1,G2M
588895,AZD,LMPP,G2M
459519,AZD,CMP,S
620254,NTC,LMPP,G2M
589821,NTC,LMPP,S
472425,AZD,LMPP,S
577142,G13,LMPP,S
523512,NTC,LMPP,G2M
86072,NTC,LMPP,G2M
5192,NTC,LMPP,G2M
447321,AZD,LMPP,S
236295,NTC,LMPP,G2M
76107,NTC,LMPP,G2M
783273,NTC,LMPP,G2M
587879,NTC,LMPP,S
266292,NTC,LMPP,S
779211,AZD,LMPP,G2M
660209,AZD,LMPP,G2M
857640,NTC,LMPP,S
356482,AZD,LMPP,S
467207,NTC,LMPP,G2M
574091,NTC,LMPP,S
352966,NTC,LMPP,S
497674,G13,LMPP,G2M
833995,NTC,LMPP,G2M
107029,G13,LMPP,G2M
458404,NTC,MEP1,G2M
552762,NTC,LMPP,G2M
443900,NTC,LMPP,S
321792,G13,MEP1,G2M
549379,G13,LMPP,S
450696,NTC,LMPP,G2M
455065,AZD,LMPP,G2M
107256,G13,LMPP,G2M
448792,NTC,LMPP,G2M
78567,G13,LMPP,G2M
81149,NTC,MEP1,G2M
273557,NTC,LMPP,G2M
77656,NTC,LMPP,S
573591,G13,LMPP,G2M
740265,NTC,LMPP,S
633042,AZD,LMPP,S
428814,NTC,LMPP,G2M
38689,NTC,LMPP,G2M
2647,AZD,LMPP,S
458738,NTC,LMPP,S
311337,G13,LMPP,G2M
741438,G13,LMPP,G2M
358111,G13,LMPP,G2M
69371,NTC,LMPP,S
249,G13,LMPP,S
523191,NTC,LMPP,S
326837,NTC,LMPP,G2M
272772,NTC,LMPP,G2M
