,Cells.all_samples.data.
399,93_75_73
400,93_75_81
401,93_75_88
402,93_76_02
403,93_76_16
404,93_76_22
405,93_76_32
406,93_76_35
407,93_76_59
408,93_76_77
409,93_77_32
410,93_78_19
411,93_78_26
412,93_78_31
413,93_78_34
414,93_78_40
415,93_78_48
416,93_78_55
417,93_78_69
418,93_78_72
419,93_78_79
420,93_78_82
421,93_79_02
422,93_79_06
423,93_79_09
424,93_79_17
425,93_79_18
426,93_79_34
427,93_79_57
428,93_79_59
429,93_79_61
430,93_79_68
431,93_79_75
432,93_79_81
433,93_79_82
434,93_79_93
435,93_80_43
436,93_80_52
437,93_80_67
438,93_80_74
439,93_80_94
440,93_81_15
441,93_81_17
442,93_81_50
443,93_81_70
444,93_81_81
445,93_81_96
446,93_82_23
447,93_82_38
448,93_82_58
449,93_82_74
450,93_82_95
451,93_83_14
452,93_83_21
453,93_83_51
454,93_83_60
455,93_83_87
456,93_83_91
457,93_83_95
458,93_84_09
459,93_84_40
460,93_84_42
461,93_84_74
462,93_84_84
463,93_84_91
464,93_85_01
465,93_85_03
466,93_85_11
467,93_85_14
468,93_85_15
469,93_85_31
470,93_85_41
471,93_85_43
472,93_85_51
473,93_85_69
474,93_85_74
475,93_85_80
476,93_85_84
477,93_85_85
478,93_85_87
479,93_86_19
480,93_86_27
481,93_86_43
482,93_86_46
483,93_86_48
484,93_86_79
485,93_86_80
486,93_87_02
487,93_87_10
488,93_87_30
489,93_87_36
490,93_87_40
491,93_87_57
492,93_87_60
493,93_88_04
494,93_88_09
495,93_88_60
496,93_88_72
497,93_88_76
498,93_88_82
499,93_88_94
500,93_89_77
501,93_89_80
502,93_90_04
503,93_90_12
504,93_90_15
505,93_90_40
506,93_90_48
507,93_90_56
508,93_90_64
509,93_90_85
510,93_90_92
511,93_90_95
512,93_91_02
513,93_91_37
514,93_91_39
515,93_91_44
516,93_91_48
517,93_91_53
518,93_91_80
519,93_91_81
520,93_91_90
521,93_91_95
522,93_92_22
523,93_92_25
524,93_93_70
525,69_01_05
526,69_01_08
527,69_01_25
528,69_01_29
529,69_01_33
530,69_01_56
531,69_01_57
532,69_01_65
533,69_01_69
534,69_01_90
535,69_02_25
536,69_02_28
537,69_02_29
538,69_02_31
539,69_02_50
540,69_02_53
541,69_02_63
542,69_02_66
543,69_02_80
544,69_03_13
545,69_03_18
546,69_03_25
547,69_03_34
548,69_03_36
549,69_03_42
550,69_03_48
551,69_03_49
552,69_03_53
553,69_03_62
554,69_03_65
555,69_03_72
556,69_03_88
557,69_03_91
558,69_03_92
559,69_03_93
560,69_04_59
561,69_04_66
562,69_04_69
563,69_04_72
564,69_04_77
565,69_05_08
566,69_05_18
567,69_05_25
568,69_05_32
569,69_05_44
570,69_05_54
571,69_05_58
572,69_05_65
573,69_05_76
574,69_05_77
575,69_05_79
576,69_06_07
577,69_06_31
578,69_06_53
579,69_06_59
580,69_06_60
581,69_06_63
582,69_06_74
583,69_06_91
584,69_06_94
585,69_07_09
586,69_07_10
587,69_07_45
588,69_07_69
589,69_07_78
590,69_07_91
591,69_08_09
592,69_08_23
593,69_08_32
594,69_08_36
595,69_08_41
596,69_08_44
597,69_08_46
598,69_08_49
599,69_08_54
600,69_08_63
601,69_09_35
602,69_09_40
603,69_09_57
604,69_09_60
605,69_09_61
606,69_09_62
607,69_09_65
608,69_09_92
609,69_10_12
610,69_10_23
611,69_10_31
612,69_10_33
613,69_10_54
614,69_10_91
615,69_11_04
616,69_11_10
617,69_11_24
618,69_11_26
619,69_11_36
620,69_11_56
621,69_11_62
622,69_11_73
623,69_12_14
624,69_12_17
625,69_12_20
626,69_12_30
627,69_12_59
628,69_12_74
629,69_12_88
630,69_12_96
631,69_13_13
632,69_13_22
633,69_13_27
634,69_13_43
635,69_13_44
636,69_13_46
637,69_13_56
638,69_13_62
639,69_13_81
640,69_13_90
641,69_14_40
642,69_14_53
643,69_14_58
644,69_14_70
645,69_14_73
646,69_14_80
647,69_14_96
648,69_15_42
649,69_15_45
650,69_15_63
651,69_15_65
652,69_15_68
653,69_15_71
654,69_16_06
655,69_16_10
656,69_16_11
657,69_16_17
658,69_16_21
659,69_16_29
660,69_16_30
661,69_16_35
662,69_16_39
663,69_16_50
664,69_16_54
665,69_16_57
666,69_16_61
667,69_16_77
668,69_16_80
669,69_16_95
670,69_16_96
671,69_17_03
672,69_17_19
673,69_17_22
674,69_17_25
675,69_17_35
676,69_17_38
677,69_18_05
678,69_18_07
679,69_18_08
680,69_18_20
681,69_18_24
682,69_18_31
683,69_18_35
684,69_18_36
685,69_18_39
686,69_18_47
687,69_18_51
688,69_18_64
689,69_18_74
690,69_18_80
691,69_18_82
692,69_19_02
693,69_19_16
694,69_19_18
695,69_19_25
696,69_19_34
697,69_19_44
698,69_19_48
699,69_19_51
700,69_19_61
701,69_19_81
702,69_19_96
703,69_20_08
704,69_20_26
705,69_20_61
706,69_20_75
707,69_20_84
