,Cells.all_samples.data.
11597,04_30_36
11598,04_30_88
11599,04_31_15
11600,04_31_44
11601,04_31_50
11602,04_31_55
11603,04_31_65
11604,04_31_70
11605,04_31_76
11606,04_31_85
11607,04_31_86
11608,04_32_19
11609,04_32_30
11610,04_32_31
11611,04_32_74
11612,04_32_85
11613,04_32_94
11614,04_33_21
11615,04_33_31
11616,04_33_42
11617,04_33_68
11618,04_33_72
11619,04_33_74
11620,04_34_04
11621,04_34_10
11622,04_34_15
11623,04_34_18
11624,04_34_34
11625,04_34_51
11626,04_34_56
11627,04_34_86
11628,04_35_02
11629,04_35_49
11630,04_35_59
11631,04_35_77
11632,04_35_90
11633,04_36_20
11634,04_36_53
11635,04_36_75
11636,04_36_89
11637,04_36_94
11638,04_37_01
11639,04_37_12
11640,04_37_22
11641,04_37_38
11642,04_37_54
11643,04_37_66
11644,04_38_09
11645,04_38_14
11646,04_38_15
11647,04_38_29
11648,04_38_43
11649,04_38_52
11650,04_38_96
11651,04_39_13
11652,04_39_17
11653,04_39_19
11654,04_39_30
11655,04_39_33
11656,04_39_48
11657,04_39_49
11658,04_39_59
11659,04_39_65
11660,04_39_94
11661,04_40_02
11662,04_40_07
11663,04_40_15
11664,04_40_39
11665,04_40_40
11666,04_40_41
11667,04_40_77
11668,04_40_81
11669,04_40_92
11670,04_40_95
11671,04_41_05
11672,04_41_18
11673,04_41_21
11674,04_41_22
11675,04_41_26
11676,04_41_32
11677,04_41_46
11678,04_41_51
11679,04_41_53
11680,04_41_76
11681,04_42_16
11682,04_42_19
11683,04_42_33
11684,04_42_35
11685,04_42_40
11686,04_42_80
11687,04_42_91
11688,04_42_93
11689,04_43_25
11690,04_43_35
11691,04_43_60
11692,04_43_62
11693,04_43_74
11694,04_43_92
11695,04_44_41
11696,04_44_58
11697,04_44_62
11698,04_44_88
11699,04_45_01
11700,04_45_07
11701,04_45_10
11702,04_45_28
11703,04_45_43
11704,04_45_62
11705,04_45_67
11706,04_45_79
11707,04_45_86
11708,04_46_49
11709,04_46_58
11710,04_46_66
11711,04_46_69
11712,04_47_10
11713,04_47_34
11714,04_47_54
11715,04_47_59
11716,04_47_75
11717,04_47_84
11718,04_48_16
11719,04_48_43
11720,04_48_67
11721,04_48_73
11722,04_48_76
11723,04_48_79
11724,04_48_86
11725,04_48_87
11726,04_48_90
11727,04_49_19
11728,04_49_20
11729,04_49_31
11730,04_49_32
11731,04_49_42
11732,04_49_43
11733,04_49_44
11734,04_49_45
11735,04_49_67
11736,04_49_76
11737,04_49_79
11738,04_49_86
11739,04_49_87
11740,04_50_04
11741,04_50_15
11742,04_50_17
11743,04_50_19
11744,04_50_33
11745,04_50_47
11746,04_50_72
11747,04_50_77
11748,04_50_82
11749,04_51_05
11750,04_51_20
11751,04_51_21
11752,04_51_34
11753,04_51_60
11754,04_51_72
11755,04_51_81
11756,04_51_83
11757,04_51_96
11758,04_52_14
11759,04_52_15
11760,04_52_18
11761,04_52_20
11762,04_52_30
11763,04_52_33
11764,04_52_49
11765,04_52_81
11766,04_53_04
11767,04_53_12
11768,04_53_41
11769,04_53_60
11770,04_53_90
11771,04_54_01
11772,04_54_28
11773,04_54_40
11774,04_54_51
11775,04_54_84
11776,04_54_85
11777,04_55_32
11778,04_55_47
11779,04_55_55
11780,04_55_59
11781,04_55_81
11782,04_55_82
11783,04_55_88
11784,04_55_93
11785,04_56_07
11786,04_56_15
11787,04_56_16
11788,04_56_42
11789,04_56_56
11790,04_56_60
11791,04_56_69
11792,04_56_84
11793,04_56_90
11794,04_57_01
11795,04_57_05
11796,04_57_08
11797,04_57_11
11798,04_57_19
11799,04_57_21
11800,04_57_54
11801,04_57_58
11802,04_57_62
11803,04_58_08
11804,04_58_29
11805,04_58_34
11806,04_58_44
11807,04_58_45
11808,04_58_73
11809,04_58_77
11810,04_58_81
11811,04_58_87
11812,04_58_92
11813,04_59_10
11814,04_59_27
11815,04_59_36
11816,04_59_48
11817,04_59_61
11818,04_59_65
11819,04_59_85
11820,04_59_92
11821,04_59_94
11822,04_60_20
11823,04_60_63
11824,04_60_64
11825,04_60_91
11826,04_61_01
11827,04_61_21
11828,04_61_27
11829,04_61_30
11830,04_61_40
11831,04_61_51
11832,04_61_54
11833,04_61_83
11834,04_61_89
11835,04_61_93
11836,04_62_03
11837,04_62_17
11838,04_62_18
11839,04_62_54
11840,04_62_59
11841,04_62_61
11842,04_62_69
11843,04_62_70
11844,04_62_74
11845,04_62_78
11846,04_62_79
11847,04_62_81
11848,04_63_17
11849,04_63_27
11850,04_63_29
11851,04_63_47
11852,04_63_56
11853,04_63_57
11854,04_63_58
11855,04_63_63
11856,04_63_71
11857,04_63_77
11858,04_64_06
11859,04_64_12
11860,04_64_31
11861,04_64_33
11862,04_64_48
11863,04_64_55
11864,04_64_59
11865,04_64_73
11866,04_64_92
11867,04_64_94
11868,04_65_21
11869,04_65_47
11870,04_65_68
11871,04_65_73
11872,04_65_81
11873,04_65_89
11874,04_66_03
11875,04_66_09
11876,04_66_14
11877,04_66_16
11878,04_66_23
11879,04_66_48
11880,04_66_51
11881,04_66_61
11882,04_66_64
11883,04_66_81
11884,04_66_82
11885,04_66_94
11886,04_66_96
11887,04_67_11
11888,04_67_27
11889,04_67_36
11890,04_67_42
11891,04_67_43
11892,04_67_45
11893,04_67_60
11894,04_68_01
11895,04_68_10
11896,04_68_22
11897,04_68_45
11898,04_68_67
11899,04_68_70
11900,04_68_80
11901,04_68_84
11902,04_69_03
11903,04_69_10
11904,04_69_12
11905,04_69_20
11906,04_69_36
11907,04_69_40
11908,04_69_52
11909,04_69_60
11910,04_69_63
11911,04_69_80
11912,04_69_90
11913,04_70_01
11914,04_70_09
11915,04_70_38
11916,04_70_50
11917,04_70_57
11918,04_70_59
11919,04_70_61
11920,04_70_62
11921,04_70_63
11922,04_70_68
11923,04_70_72
11924,04_70_80
11925,04_71_03
11926,04_71_14
11927,04_71_29
11928,04_71_30
11929,04_71_35
11930,04_71_37
11931,04_71_41
11932,04_71_77
11933,04_72_34
11934,04_72_64
11935,04_72_76
11936,04_72_77
11937,04_72_86
11938,04_73_07
11939,04_73_27
11940,04_73_42
11941,04_73_57
11942,04_73_64
11943,04_73_74
11944,04_73_80
11945,04_74_20
11946,04_74_38
11947,04_74_39
11948,04_74_53
11949,04_74_62
11950,04_74_67
11951,04_74_91
11952,04_74_92
11953,04_75_60
11954,04_75_72
11955,04_75_73
11956,04_75_86
11957,04_75_92
11958,04_76_16
11959,04_76_49
11960,04_76_55
11961,04_76_82
11962,04_76_83
11963,04_76_87
11964,04_76_92
11965,04_76_96
11966,04_77_15
11967,04_77_22
11968,04_77_66
11969,04_77_74
11970,04_77_87
11971,04_77_94
11972,04_78_27
11973,04_78_38
11974,04_78_39
11975,04_78_59
11976,04_78_63
11977,04_78_64
11978,04_78_65
11979,04_78_93
11980,04_78_94
11981,04_78_95
11982,04_79_06
11983,04_79_36
11984,04_79_41
11985,04_79_72
11986,04_79_73
11987,04_79_79
11988,04_79_82
11989,04_80_15
11990,04_80_16
11991,04_80_17
11992,04_80_46
11993,04_80_71
11994,04_80_87
11995,04_80_90
11996,04_81_21
11997,04_81_27
11998,04_81_34
11999,04_81_36
12000,04_81_45
12001,04_81_50
12002,04_81_74
12003,04_81_79
12004,04_81_80
12005,04_82_09
12006,04_82_10
12007,04_82_15
12008,04_82_18
12009,04_82_28
12010,04_82_46
12011,04_82_53
12012,04_82_55
12013,04_82_60
12014,04_82_79
12015,04_83_34
12016,04_83_44
12017,04_83_51
12018,04_83_58
12019,04_83_59
12020,04_83_63
12021,04_83_71
12022,04_83_79
12023,04_83_82
12024,04_83_93
12025,04_83_95
12026,04_84_68
12027,04_84_76
12028,04_84_87
12029,04_85_14
12030,04_85_15
12031,04_85_17
12032,04_85_23
12033,04_85_42
12034,04_85_45
12035,04_85_46
12036,04_85_55
12037,04_85_73
12038,04_85_77
12039,04_86_15
12040,04_86_16
12041,04_86_17
12042,04_86_33
12043,04_86_43
12044,04_86_51
12045,04_86_70
12046,04_86_83
12047,04_86_93
12048,04_87_14
12049,04_87_27
12050,04_87_35
12051,04_87_37
12052,04_87_43
12053,04_87_59
12054,04_87_60
12055,04_87_73
12056,04_87_80
12057,04_87_89
12058,04_87_91
12059,04_88_20
12060,04_88_23
12061,04_88_24
12062,04_88_25
12063,04_88_43
12064,04_88_75
12065,04_89_08
12066,04_89_20
12067,04_89_22
12068,04_89_37
12069,04_89_61
12070,04_89_66
12071,04_89_68
12072,04_89_77
12073,04_89_88
12074,04_90_35
12075,04_90_44
12076,04_90_52
12077,04_90_63
12078,04_90_76
12079,04_90_84
12080,04_90_92
12081,04_91_25
12082,04_91_30
12083,04_91_47
12084,04_91_52
12085,04_91_54
12086,04_91_68
12087,04_91_69
12088,04_91_83
12089,04_92_22
12090,04_92_35
12091,04_92_53
12092,04_92_67
12093,04_92_92
12094,04_93_40
12095,04_93_62
12096,05_01_02
12097,05_01_03
12098,05_01_28
12099,05_01_46
12100,05_01_62
12101,05_01_63
12102,05_01_72
12103,05_01_84
12104,05_02_08
12105,05_02_09
12106,05_02_25
12107,05_02_27
12108,05_02_60
12109,05_02_61
12110,05_02_66
12111,05_02_79
12112,05_02_88
12113,05_03_14
12114,05_03_19
12115,05_03_23
12116,05_03_28
12117,05_03_46
12118,05_03_60
12119,05_03_69
12120,05_03_70
12121,05_03_76
12122,05_03_81
12123,05_04_03
12124,05_04_09
12125,05_04_18
12126,05_04_22
12127,05_04_28
12128,05_04_41
12129,05_04_50
12130,05_04_68
12131,05_04_91
12132,05_05_14
12133,05_05_27
12134,05_05_45
12135,05_05_49
12136,05_05_51
12137,05_05_54
12138,05_05_89
12139,05_05_94
12140,05_06_13
12141,05_06_26
12142,05_06_28
12143,05_06_34
12144,05_06_41
12145,05_06_57
12146,05_06_79
12147,05_06_81
12148,05_07_02
12149,05_07_05
12150,05_07_14
12151,05_07_18
12152,05_07_38
12153,05_07_45
12154,05_07_54
12155,05_07_56
12156,05_07_62
12157,05_07_75
12158,05_07_83
12159,05_08_02
12160,05_08_03
12161,05_08_15
12162,05_08_29
12163,05_08_34
12164,05_08_35
12165,05_08_59
12166,05_08_66
12167,05_08_71
12168,05_09_14
12169,05_09_33
12170,05_09_46
12171,05_09_50
12172,05_09_62
12173,05_09_89
12174,05_09_96
12175,05_10_01
12176,05_10_04
12177,05_10_37
12178,05_10_45
12179,05_10_53
12180,05_10_67
12181,05_10_70
12182,05_10_73
12183,05_10_74
12184,05_10_77
12185,05_10_81
12186,05_11_16
12187,05_11_52
12188,05_11_73
12189,05_11_81
12190,05_11_82
12191,05_12_14
12192,05_12_22
12193,05_12_24
12194,05_12_31
12195,05_12_41
12196,05_12_50
12197,05_12_58
12198,05_12_64
12199,05_12_77
12200,05_12_86
12201,05_13_02
12202,05_13_04
12203,05_13_86
12204,05_14_04
12205,05_14_10
12206,05_14_25
12207,05_14_28
12208,05_14_40
12209,05_14_46
12210,05_14_53
12211,05_14_77
12212,05_14_91
12213,05_15_16
12214,05_15_33
12215,05_15_51
12216,05_15_58
12217,05_15_72
12218,05_15_77
12219,05_15_80
12220,05_16_19
12221,05_16_34
12222,05_16_40
12223,05_16_44
12224,05_16_48
12225,05_16_64
12226,05_16_75
12227,05_16_80
12228,05_16_85
12229,05_16_93
12230,05_17_02
12231,05_17_15
12232,05_17_19
12233,05_17_30
12234,05_17_35
12235,05_17_37
12236,05_17_39
12237,05_17_61
12238,05_17_74
12239,05_17_88
12240,05_18_02
12241,05_18_03
12242,05_18_13
12243,05_18_14
12244,05_18_20
12245,05_18_24
12246,05_18_25
12247,05_18_26
12248,05_18_42
12249,05_18_53
12250,05_18_61
12251,05_18_65
12252,05_18_77
12253,05_18_96
12254,05_19_04
12255,05_19_11
12256,05_19_27
12257,05_19_41
12258,05_19_43
12259,05_19_63
12260,05_19_65
12261,05_19_78
12262,05_19_88
12263,05_20_22
12264,05_20_44
12265,05_20_51
12266,05_20_56
12267,05_20_64
12268,05_20_84
12269,05_20_90
12270,05_20_91
12271,05_20_92
12272,05_20_94
12273,05_21_02
12274,05_21_06
12275,05_21_07
12276,05_21_10
12277,05_21_11
12278,05_21_33
12279,05_21_73
12280,05_21_74
12281,05_21_90
12282,05_21_95
12283,05_22_38
12284,05_22_49
12285,05_22_57
12286,05_22_67
12287,05_22_83
12288,05_23_04
12289,05_23_11
12290,05_23_19
12291,05_23_23
12292,05_23_26
12293,05_23_49
12294,05_23_58
12295,05_23_68
12296,05_23_81
12297,05_23_82
12298,05_23_84
12299,05_23_86
12300,05_24_01
12301,05_24_03
12302,05_24_05
12303,05_24_12
12304,05_24_20
12305,05_24_37
12306,05_24_60
12307,05_24_71
12308,05_24_72
12309,05_25_09
12310,05_25_28
12311,05_25_33
12312,05_25_45
12313,05_25_52
12314,05_25_57
12315,05_25_67
12316,05_25_75
12317,05_25_90
12318,05_25_92
12319,05_25_94
12320,05_26_05
12321,05_26_21
12322,05_26_25
12323,05_26_27
12324,05_26_46
12325,05_26_55
12326,05_26_69
12327,05_26_86
12328,05_26_90
12329,05_27_05
12330,05_27_08
12331,05_27_14
12332,05_27_21
12333,05_27_22
12334,05_27_29
12335,05_27_48
12336,05_27_64
12337,05_27_65
12338,05_27_67
12339,05_27_69
12340,05_27_78
12341,05_27_85
12342,05_27_93
12343,05_27_94
12344,05_28_02
12345,05_28_16
12346,05_28_27
12347,05_28_31
12348,05_28_52
12349,05_28_64
12350,05_28_86
12351,05_28_90
12352,05_28_91
12353,05_29_01
12354,05_29_07
12355,05_29_30
12356,05_29_31
12357,05_29_34
12358,05_29_46
12359,05_29_61
12360,05_29_78
12361,05_29_85
12362,05_29_86
12363,05_30_02
12364,05_30_22
12365,05_30_48
12366,05_30_49
12367,05_30_50
12368,05_30_70
12369,05_30_80
12370,05_31_14
12371,05_31_17
12372,05_31_33
12373,05_31_57
12374,05_31_58
12375,05_31_63
12376,05_31_71
12377,05_31_78
12378,05_31_80
12379,05_31_83
12380,05_32_10
12381,05_32_11
12382,05_32_13
12383,05_32_27
12384,05_32_54
12385,05_32_63
12386,05_32_71
12387,05_32_78
12388,05_32_87
12389,05_33_25
12390,05_33_34
12391,05_33_42
12392,05_33_53
12393,05_33_59
12394,05_33_74
12395,05_33_94
12396,05_34_10
12397,05_34_14
12398,05_34_15
12399,05_34_18
12400,05_34_26
12401,05_34_38
12402,05_34_44
12403,05_34_51
12404,05_34_92
12405,05_35_08
12406,05_35_19
12407,05_35_41
12408,05_35_46
12409,05_35_57
12410,05_35_58
12411,05_35_82
12412,05_35_83
12413,05_35_89
12414,05_35_93
12415,05_36_21
12416,05_36_27
12417,05_36_38
12418,05_36_65
12419,05_36_74
12420,05_36_86
12421,05_37_13
12422,05_37_16
12423,05_37_19
12424,05_37_33
12425,05_37_60
12426,05_37_61
12427,05_37_66
12428,05_37_74
12429,05_38_18
12430,05_38_24
12431,05_38_37
12432,05_38_40
12433,05_38_41
12434,05_38_93
12435,05_38_94
12436,05_39_15
12437,05_39_17
12438,05_39_23
12439,05_39_26
12440,05_39_38
12441,05_39_41
12442,05_39_48
12443,05_39_50
12444,05_39_56
12445,05_39_59
12446,05_39_65
12447,05_39_69
12448,05_39_74
12449,05_39_94
12450,05_40_01
12451,05_40_13
12452,05_40_18
12453,05_40_27
12454,05_40_66
12455,05_40_74
12456,05_41_11
12457,05_41_25
12458,05_41_32
12459,05_41_57
12460,05_41_87
12461,05_41_89
12462,05_41_93
12463,05_42_05
12464,05_42_31
12465,05_42_41
12466,05_42_61
12467,05_42_89
12468,05_43_14
12469,05_43_24
12470,05_43_40
12471,05_43_41
12472,05_43_45
12473,05_43_62
12474,05_43_68
12475,05_43_83
12476,05_43_91
12477,05_44_27
12478,05_44_35
12479,05_44_41
12480,05_44_49
12481,05_44_53
12482,05_44_54
12483,05_44_56
12484,05_44_61
12485,05_44_63
12486,05_44_83
12487,05_44_88
12488,05_44_89
12489,05_44_91
12490,05_45_11
12491,05_45_19
12492,05_45_34
12493,05_45_38
12494,05_45_54
12495,05_45_57
12496,05_45_65
12497,05_45_75
12498,05_45_79
12499,05_45_82
12500,05_45_90
12501,05_46_02
12502,05_46_14
12503,05_46_17
12504,05_46_30
12505,05_46_49
12506,05_46_51
12507,05_46_70
12508,05_47_09
12509,05_47_29
12510,05_47_45
12511,05_47_47
12512,05_47_57
12513,05_47_63
12514,05_47_82
12515,05_47_93
12516,05_48_10
12517,05_48_44
12518,05_48_45
12519,05_48_52
12520,05_48_66
12521,05_48_80
12522,05_48_85
12523,05_48_90
12524,05_49_23
12525,05_49_32
12526,05_50_08
12527,05_50_26
12528,05_50_29
12529,05_50_46
12530,05_50_64
12531,05_50_72
12532,05_50_79
12533,05_50_96
12534,05_51_04
12535,05_51_14
12536,05_51_32
12537,05_51_50
12538,05_51_55
12539,05_51_89
12540,05_51_90
12541,05_52_05
12542,05_52_07
12543,05_52_11
12544,05_52_13
12545,05_52_22
12546,05_52_26
12547,05_52_27
12548,05_52_42
12549,05_52_62
12550,05_52_63
12551,05_52_72
12552,05_52_80
12553,05_52_92
12554,05_53_26
12555,05_53_34
12556,05_53_42
12557,05_53_47
12558,05_53_55
12559,05_53_60
12560,05_53_64
12561,05_53_70
12562,05_53_75
12563,05_53_86
12564,05_54_04
12565,05_54_07
12566,05_54_10
12567,05_54_11
12568,05_54_39
12569,05_54_40
12570,05_54_69
12571,05_54_95
12572,05_55_15
12573,05_55_18
12574,05_55_32
12575,05_55_36
12576,05_55_37
12577,05_55_44
12578,05_55_54
12579,05_55_79
12580,05_55_84
12581,05_55_89
12582,05_56_36
12583,05_56_41
12584,05_56_51
12585,05_56_53
12586,05_56_55
12587,05_56_56
12588,05_56_59
12589,05_56_94
12590,05_57_05
12591,05_57_45
12592,05_57_65
12593,05_57_66
12594,05_57_69
12595,05_57_76
12596,05_57_84
12597,05_57_86
12598,05_57_90
12599,05_58_01
12600,05_58_03
12601,05_58_31
12602,05_58_51
12603,05_58_58
12604,05_58_61
12605,05_58_69
12606,05_58_71
12607,05_58_75
12608,05_58_82
12609,05_58_95
12610,05_59_11
12611,05_59_14
12612,05_59_24
12613,05_59_27
12614,05_59_34
12615,05_59_49
12616,05_59_52
12617,05_59_56
12618,05_59_61
12619,05_59_64
12620,05_59_89
12621,05_59_92
12622,05_60_02
12623,05_60_03
12624,05_60_28
12625,05_60_39
12626,05_60_45
12627,05_60_47
12628,05_60_95
12629,05_61_03
12630,05_61_08
12631,05_61_17
12632,05_61_28
12633,05_61_52
12634,05_61_54
12635,05_61_74
12636,05_61_79
12637,05_61_90
12638,05_62_10
12639,05_62_12
12640,05_62_13
12641,05_62_23
12642,05_62_24
12643,05_62_42
12644,05_62_52
12645,05_62_65
12646,05_62_70
12647,05_62_82
12648,05_62_89
12649,05_62_93
12650,05_62_94
12651,05_63_03
12652,05_63_09
12653,05_63_37
12654,05_63_40
12655,05_63_43
12656,05_63_47
12657,05_63_53
12658,05_63_72
12659,05_63_75
12660,05_64_12
12661,05_64_29
12662,05_64_33
12663,05_64_40
12664,05_64_42
12665,05_64_76
12666,05_64_78
12667,05_64_95
12668,05_64_96
12669,05_65_07
12670,05_65_16
12671,05_65_51
12672,05_65_65
12673,05_65_66
12674,05_65_74
12675,05_65_96
12676,05_66_18
12677,05_66_26
12678,05_66_28
12679,05_66_29
12680,05_66_41
12681,05_66_47
12682,05_66_49
12683,05_66_51
12684,05_66_79
12685,05_66_84
12686,05_66_90
12687,05_66_96
12688,05_67_11
12689,05_67_18
12690,05_67_23
12691,05_67_35
12692,05_67_37
12693,05_67_51
12694,05_67_72
12695,05_67_77
12696,05_68_02
12697,05_68_11
12698,05_68_16
12699,05_68_17
12700,05_68_26
12701,05_68_38
12702,05_68_47
12703,05_68_50
12704,05_68_55
12705,05_68_57
12706,05_68_67
12707,05_68_74
12708,05_68_83
12709,05_68_91
12710,05_68_92
12711,05_69_23
12712,05_69_31
12713,05_69_33
12714,05_69_40
12715,05_69_41
12716,05_69_42
12717,05_69_45
12718,05_69_65
12719,05_70_17
12720,05_70_39
12721,05_70_54
12722,05_70_60
12723,05_70_90
12724,05_71_01
12725,05_71_30
12726,05_71_32
12727,05_71_43
12728,05_71_45
12729,05_71_60
12730,05_71_66
12731,05_71_88
12732,05_71_96
12733,05_72_11
12734,05_72_21
12735,05_72_22
12736,05_72_34
12737,05_72_37
12738,05_72_40
12739,05_72_41
12740,05_72_44
12741,05_72_46
12742,05_72_47
12743,05_72_50
12744,05_72_65
12745,05_72_91
12746,05_73_06
12747,05_73_12
12748,05_73_23
12749,05_73_42
12750,05_73_47
12751,05_73_66
12752,05_73_77
12753,05_73_78
12754,05_73_88
12755,05_74_12
12756,05_74_16
12757,05_74_18
12758,05_74_23
12759,05_74_32
12760,05_74_47
12761,05_74_50
12762,05_74_85
12763,05_75_18
12764,05_75_19
12765,05_75_31
12766,05_75_39
12767,05_75_43
12768,05_75_45
12769,05_75_49
12770,05_75_51
12771,05_75_65
12772,05_75_73
12773,05_75_92
12774,05_76_18
12775,05_76_49
12776,05_76_51
12777,05_76_52
12778,05_76_57
12779,05_76_66
12780,05_76_77
12781,05_77_09
12782,05_77_21
12783,05_77_34
12784,05_77_63
12785,05_77_69
12786,05_77_71
12787,05_77_83
12788,05_77_89
12789,05_77_90
12790,05_78_01
12791,05_78_13
12792,05_78_16
12793,05_78_21
12794,05_78_22
12795,05_78_26
12796,05_78_28
12797,05_78_45
12798,05_78_58
12799,05_78_78
12800,05_79_06
12801,05_79_26
12802,05_79_42
12803,05_79_56
12804,05_79_58
12805,05_79_65
12806,05_79_83
12807,05_79_90
12808,05_80_08
12809,05_80_18
12810,05_80_25
12811,05_80_65
12812,05_80_68
12813,05_80_76
12814,05_80_77
12815,05_80_81
12816,05_80_89
12817,05_81_03
12818,05_81_04
12819,05_81_35
12820,05_81_43
12821,05_81_45
12822,05_81_46
12823,05_81_53
12824,05_81_57
12825,05_81_59
12826,05_81_73
12827,05_81_90
12828,05_82_09
12829,05_82_13
12830,05_82_55
12831,05_82_62
12832,05_82_73
12833,05_82_88
12834,05_83_58
12835,05_83_66
12836,05_83_77
12837,05_83_87
12838,05_84_06
12839,05_84_15
12840,05_84_17
12841,05_84_24
12842,05_84_38
12843,05_84_53
12844,05_84_60
12845,05_84_61
12846,05_85_01
12847,05_85_12
12848,05_85_15
12849,05_85_18
12850,05_85_31
12851,05_85_88
12852,05_86_05
12853,05_86_12
12854,05_86_21
12855,05_86_34
12856,05_86_36
12857,05_86_40
12858,05_86_43
12859,05_86_55
12860,05_86_62
12861,05_86_79
12862,05_87_29
12863,05_87_40
12864,05_87_46
12865,05_87_55
12866,05_87_67
12867,05_87_75
12868,05_87_91
12869,05_87_96
12870,05_88_03
12871,05_88_05
12872,05_88_08
12873,05_88_16
12874,05_88_17
12875,05_88_18
12876,05_88_34
12877,05_88_35
12878,05_88_37
12879,05_88_43
12880,05_88_57
12881,05_88_59
12882,05_88_65
12883,05_88_70
12884,05_88_73
12885,05_88_79
12886,05_88_92
12887,05_89_16
12888,05_89_31
12889,05_89_34
12890,05_89_42
12891,05_89_49
12892,05_89_54
12893,05_89_64
12894,05_89_72
12895,05_89_79
12896,05_89_88
12897,05_89_92
12898,05_90_15
12899,05_90_18
12900,05_90_22
12901,05_90_41
12902,05_90_43
12903,05_90_45
12904,05_90_49
12905,05_90_52
12906,05_90_53
12907,05_90_83
12908,05_90_92
12909,05_91_11
12910,05_91_21
12911,05_91_27
12912,05_91_38
12913,05_91_43
12914,05_91_58
12915,05_91_67
12916,05_91_78
12917,05_91_85
12918,05_91_89
12919,05_92_14
12920,05_92_25
12921,05_92_28
12922,05_92_37
12923,05_92_38
12924,05_92_59
12925,05_92_64
12926,05_92_88
12927,05_92_91
12928,05_93_02
12929,05_93_32
12930,05_93_52
12931,05_93_84
12932,06_01_02
12933,06_01_15
12934,06_01_48
12935,06_01_49
12936,06_01_56
12937,06_01_57
12938,06_01_74
12939,06_01_75
12940,06_01_77
12941,06_01_91
12942,06_02_09
12943,06_02_27
12944,06_02_32
12945,06_02_38
12946,06_02_49
12947,06_02_96
12948,06_03_25
12949,06_03_34
12950,06_03_38
12951,06_03_39
12952,06_03_50
12953,06_03_51
12954,06_03_73
12955,06_03_84
12956,06_03_89
12957,06_03_95
12958,06_04_06
12959,06_04_08
12960,06_04_15
12961,06_04_20
12962,06_04_25
12963,06_04_43
12964,06_04_50
12965,06_04_57
12966,06_04_59
12967,06_04_62
12968,06_04_65
12969,06_04_90
12970,06_05_02
12971,06_05_11
12972,06_05_13
12973,06_05_22
12974,06_05_36
12975,06_05_37
12976,06_05_47
12977,06_05_51
12978,06_05_55
12979,06_05_57
12980,06_05_61
12981,06_05_80
12982,06_05_91
12983,06_06_02
12984,06_06_28
12985,06_06_32
12986,06_06_38
12987,06_06_79
12988,06_06_91
12989,06_07_16
12990,06_07_25
12991,06_07_31
12992,06_07_66
12993,06_07_70
12994,06_07_73
12995,06_07_79
12996,06_07_80
12997,06_07_90
12998,06_08_02
12999,06_08_35
13000,06_08_44
13001,06_08_59
13002,06_08_86
13003,06_08_90
13004,06_08_93
13005,06_09_09
13006,06_09_18
13007,06_09_21
13008,06_09_43
13009,06_09_60
13010,06_09_62
13011,06_09_73
13012,06_10_14
13013,06_10_15
13014,06_10_20
13015,06_10_44
13016,06_10_61
13017,06_10_69
13018,06_10_73
13019,06_11_40
13020,06_11_67
13021,06_11_71
13022,06_11_73
13023,06_11_78
13024,06_12_03
13025,06_12_11
13026,06_12_15
13027,06_12_17
13028,06_12_34
13029,06_12_40
13030,06_12_44
13031,06_12_47
13032,06_12_54
13033,06_12_55
13034,06_12_66
13035,06_12_79
13036,06_12_92
13037,06_13_22
13038,06_13_38
13039,06_13_42
13040,06_13_46
13041,06_13_60
13042,06_13_66
13043,06_13_74
13044,06_13_79
13045,06_13_80
13046,06_13_90
13047,06_13_91
13048,06_13_94
13049,06_13_96
13050,06_14_28
13051,06_14_46
13052,06_14_74
13053,06_14_85
13054,06_14_90
13055,06_14_92
13056,06_15_11
13057,06_15_12
13058,06_15_23
13059,06_15_27
13060,06_15_38
13061,06_15_39
13062,06_15_81
13063,06_15_96
13064,06_16_17
13065,06_16_25
13066,06_16_28
13067,06_16_37
13068,06_16_41
13069,06_16_51
13070,06_16_56
13071,06_16_90
13072,06_17_39
13073,06_17_69
13074,06_17_74
13075,06_17_85
13076,06_18_17
13077,06_18_44
13078,06_18_53
13079,06_18_56
13080,06_18_86
13081,06_18_95
13082,06_19_12
13083,06_19_36
13084,06_19_41
13085,06_19_48
13086,06_19_55
13087,06_19_68
13088,06_20_41
13089,06_20_52
13090,06_20_68
13091,06_20_83
13092,06_21_14
13093,06_21_37
13094,06_21_68
13095,06_21_69
13096,06_21_90
13097,06_22_05
13098,06_22_15
13099,06_22_17
13100,06_22_23
13101,06_22_60
13102,06_22_72
13103,06_22_82
13104,06_22_93
13105,06_23_52
13106,06_23_61
13107,06_23_74
13108,06_23_87
13109,06_24_20
13110,06_24_29
13111,06_24_41
13112,06_24_43
13113,06_24_69
13114,06_24_70
13115,06_25_22
13116,06_25_49
13117,06_25_55
13118,06_25_57
13119,06_25_63
13120,06_25_67
13121,06_25_68
13122,06_25_72
13123,06_25_83
13124,06_26_29
13125,06_26_36
13126,06_26_46
13127,06_26_50
13128,06_26_80
13129,06_26_85
13130,06_26_96
13131,06_27_03
13132,06_27_06
13133,06_27_07
13134,06_27_08
13135,06_27_15
13136,06_27_16
13137,06_27_19
13138,06_27_27
13139,06_27_54
13140,06_27_75
13141,06_27_77
13142,06_27_84
13143,06_28_32
13144,06_28_38
13145,06_28_48
13146,06_28_74
13147,06_28_77
13148,06_28_88
13149,06_28_91
13150,06_29_27
